Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target_Dropout,Target_Enrolled,Target_Graduate
18,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,True,False,False
22,0,6,7,5,13.4,0,0,6,9,5,12.2,0,7.6,2.6,0.32,False,False,True
19,0,6,6,6,12.0,0,0,6,7,6,13.571428571428571,0,8.9,1.4,3.51,False,False,True
18,0,7,7,7,14.652857142857142,0,0,8,9,8,14.755555555555556,0,12.4,0.5,1.79,False,False,True
20,0,5,9,1,10.0,0,0,5,10,1,11.0,0,7.6,2.6,0.32,True,False,False
19,0,5,12,3,11.666666666666666,0,0,5,10,3,11.666666666666666,0,12.7,3.7,-1.7,False,True,False
19,0,7,8,6,11.658333333333331,0,0,8,11,6,12.416666666666666,0,12.4,0.5,1.79,False,False,True
18,0,6,6,1,11.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,True,False,False
20,0,5,12,1,10.0,2,0,5,5,0,0.0,0,12.7,3.7,-1.7,True,False,False
20,0,6,7,6,15.571428571428571,0,0,6,6,6,17.166666666666668,0,16.2,0.3,-0.92,False,False,True
26,0,7,12,6,12.166666666666666,0,0,8,8,8,11.675,0,13.9,-0.3,0.79,True,False,False
19,0,6,0,0,0.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,True,False,False
28,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,True,False,False
21,0,5,12,3,11.333333333333334,0,0,5,10,1,13.0,0,15.5,2.8,-4.06,True,False,False
20,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,True,False,False
47,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,True,False,False
21,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,True,False,False
19,0,7,7,7,13.285714285714286,0,0,7,7,7,14.428571428571429,0,11.1,0.6,2.02,False,False,True
19,0,6,7,5,10.8,0,0,6,9,6,10.166666666666666,0,8.9,1.4,3.51,False,False,True
18,0,5,8,3,15.0,2,0,5,9,3,11.666666666666666,0,9.4,-0.8,-3.12,True,False,False
22,0,6,12,3,11.333333333333334,0,0,6,13,2,11.0,0,8.9,1.4,3.51,True,False,False
21,0,6,8,6,14.75,0,0,6,9,5,14.333333333333334,0,11.1,0.6,2.02,False,False,True
33,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,True,False,False
18,0,6,6,6,13.5,0,0,6,9,5,13.2,0,8.9,1.4,3.51,False,False,True
28,9,18,36,17,13.058823529411764,1,6,12,15,12,12.307692307692308,0,15.5,2.8,-4.06,False,False,True
43,0,5,14,0,0.0,1,0,5,5,0,0.0,0,9.4,-0.8,-3.12,True,False,False
18,0,6,9,6,13.571428571428571,0,0,6,6,6,12.166666666666666,0,8.9,1.4,3.51,False,False,True
18,0,7,7,6,13.861666666666666,0,0,8,16,0,0.0,1,12.4,0.5,1.79,True,False,False
19,0,5,5,5,12.4,0,0,5,8,3,11.0,0,12.7,3.7,-1.7,False,True,False
25,0,14,14,12,13.291666666666666,1,0,14,14,12,13.291666666666666,1,7.6,2.6,0.32,False,False,True
20,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,False,True,False
21,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,False,False,True
26,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,False,True,False
19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,True,False,False
19,3,6,6,6,14.166666666666666,0,2,6,6,6,13.5,0,12.4,0.5,1.79,False,False,True
29,4,5,11,4,12.5,2,1,5,11,2,12.5,0,12.7,3.7,-1.7,True,False,False
20,0,7,9,6,13.0,0,0,8,8,8,14.2125,0,13.9,-0.3,0.79,True,False,False
25,0,5,11,3,10.666666666666666,0,0,5,11,3,11.333333333333334,0,15.5,2.8,-4.06,False,True,False
19,0,7,8,7,13.3625,0,0,8,9,8,14.444444444444445,0,13.9,-0.3,0.79,False,False,True
21,0,6,7,5,12.2,0,0,6,7,4,12.6,0,8.9,1.4,3.51,False,True,False
19,3,6,7,5,12.2,0,2,6,6,6,11.5,0,13.9,-0.3,0.79,False,False,True
19,0,5,9,2,12.5,0,0,5,10,3,11.6,0,12.4,0.5,1.79,False,True,False
19,0,5,6,5,14.6,0,0,5,5,5,13.8,0,10.8,1.4,1.74,False,False,True
19,0,6,8,6,11.333333333333334,0,0,6,12,4,13.75,0,8.9,1.4,3.51,True,False,False
20,0,6,7,6,11.666666666666666,0,0,6,10,6,11.333333333333334,0,7.6,2.6,0.32,False,False,True
19,0,6,6,6,11.666666666666666,0,0,6,10,3,12.666666666666666,0,7.6,2.6,0.32,False,False,True
19,0,5,7,5,11.8,0,0,5,8,4,12.4,2,16.2,0.3,-0.92,False,True,False
18,0,7,10,7,13.398,0,0,8,8,8,13.5425,0,15.5,2.8,-4.06,False,False,True
20,0,6,9,6,13.285714285714286,0,0,6,8,5,13.8,0,15.5,2.8,-4.06,False,False,True
22,0,5,9,3,13.0,0,0,5,9,3,11.666666666666666,0,12.7,3.7,-1.7,True,False,False
18,0,6,8,6,12.166666666666666,0,0,6,7,5,13.0,0,13.9,-0.3,0.79,False,False,True
20,0,5,12,3,10.5,0,0,5,10,4,11.25,0,12.4,0.5,1.79,False,True,False
21,0,6,8,6,11.714285714285714,0,0,6,7,6,12.0,0,7.6,2.6,0.32,False,False,True
24,0,5,0,0,0.0,0,0,5,0,0,0.0,0,13.9,-0.3,0.79,True,False,False
19,0,5,5,0,0.0,0,0,4,4,0,0.0,0,7.6,2.6,0.32,True,False,False
34,0,5,10,4,11.75,0,0,5,10,4,10.833333333333334,0,13.9,-0.3,0.79,False,True,False
19,0,6,8,6,14.25,0,0,6,7,6,13.857142857142858,0,11.1,0.6,2.02,False,False,True
18,0,7,10,5,11.94,0,0,7,8,6,12.8,0,11.1,0.6,2.02,False,True,False
32,0,5,11,4,10.75,0,0,5,11,4,11.333333333333334,0,13.9,-0.3,0.79,True,False,False
27,0,6,11,4,12.25,0,0,6,16,3,12.0,0,7.6,2.6,0.32,True,False,False
18,0,6,10,5,12.0,0,0,6,11,4,12.0,0,16.2,0.3,-0.92,False,False,True
20,0,6,9,6,12.333333333333334,0,0,6,6,6,11.833333333333334,0,8.9,1.4,3.51,False,False,True
20,0,8,8,7,14.014285714285714,0,0,8,8,7,14.014285714285714,0,12.7,3.7,-1.7,False,True,False
18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,False,False,True
18,0,6,6,6,12.166666666666666,0,0,6,10,5,11.2,0,7.6,2.6,0.32,False,True,False
19,0,6,10,5,11.5,0,0,6,9,4,14.6,0,11.1,0.6,2.02,False,False,True
19,0,6,6,6,11.833333333333334,0,0,6,7,6,13.0,0,9.4,-0.8,-3.12,False,False,True
35,0,6,16,4,12.0,0,0,6,11,3,10.333333333333334,0,13.9,-0.3,0.79,True,False,False
18,0,6,9,1,10.0,1,0,6,6,0,0.0,0,12.7,3.7,-1.7,True,False,False
18,0,7,7,7,13.471428571428572,0,0,8,9,8,13.944444444444445,0,16.2,0.3,-0.92,False,False,True
21,0,6,6,6,13.5,0,0,6,6,6,14.166666666666666,0,12.7,3.7,-1.7,False,False,True
24,0,6,10,1,10.0,0,0,6,12,0,0.0,0,9.4,-0.8,-3.12,True,False,False
18,0,6,6,6,15.0,0,0,6,6,6,14.833333333333334,0,8.9,1.4,3.51,False,False,True
18,0,6,8,6,13.5,0,0,6,9,6,12.833333333333334,0,11.1,0.6,2.02,False,False,True
22,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,False,False,True
20,0,6,10,4,13.2,0,0,6,8,0,0.0,0,12.4,0.5,1.79,True,False,False
19,0,6,8,5,12.333333333333334,0,0,6,8,5,11.0,0,15.5,2.8,-4.06,False,True,False
18,0,6,9,3,10.666666666666666,0,0,6,12,0,0.0,0,7.6,2.6,0.32,True,False,False
20,0,6,6,6,13.833333333333334,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,False,False,True
18,0,8,8,8,13.27625,0,0,8,8,8,13.27625,0,9.4,-0.8,-3.12,False,False,True
18,0,7,8,7,13.6875,0,0,8,9,8,15.622222222222222,0,13.9,-0.3,0.79,True,False,False
18,0,6,8,6,11.428571428571429,0,0,6,7,6,11.0,0,11.1,0.6,2.02,True,False,False
42,0,6,8,6,13.333333333333334,0,0,6,7,6,15.285714285714286,0,11.1,0.6,2.02,False,False,True
24,7,12,13,12,12.846153846153848,0,5,11,13,11,12.636363636363637,0,8.9,1.4,3.51,False,False,True
20,1,6,13,4,13.0,0,1,6,11,5,12.0,0,16.2,0.3,-0.92,True,False,False
18,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,True,False,False
19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,True,False,False
18,0,6,12,4,13.5,0,0,6,14,3,10.666666666666666,0,10.8,1.4,1.74,False,True,False
18,0,7,9,7,15.116666666666667,0,0,8,9,8,16.168888888888887,0,15.5,2.8,-4.06,False,False,True
22,0,5,8,5,10.666666666666666,0,0,5,11,2,11.0,0,15.5,2.8,-4.06,False,True,False
28,6,10,15,6,10.666666666666666,0,5,10,17,9,11.333333333333334,1,7.6,2.6,0.32,False,True,False
20,0,5,6,5,11.8,0,0,5,6,5,11.6,0,8.9,1.4,3.51,False,False,True
18,0,8,8,8,14.25,0,0,8,8,8,14.25,0,9.4,-0.8,-3.12,False,False,True
18,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,False,False,True
19,0,7,11,6,12.4125,0,0,8,12,7,11.2625,0,15.5,2.8,-4.06,False,False,True
18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,True,False,False
22,0,6,13,5,13.0,0,0,6,13,2,11.5,0,12.4,0.5,1.79,False,True,False
18,0,7,7,6,14.316666666666668,0,0,7,7,6,14.316666666666668,0,7.6,2.6,0.32,False,False,True
18,0,6,6,6,11.666666666666666,0,0,6,6,5,12.2,0,12.7,3.7,-1.7,False,False,True
28,0,7,7,7,14.114285714285714,0,0,8,9,8,15.91111111111111,0,16.2,0.3,-0.92,True,False,False
18,0,5,7,5,11.8,0,0,5,9,3,12.0,0,8.9,1.4,3.51,False,True,False
19,0,7,7,7,13.467142857142855,0,0,8,9,8,15.011111111111113,0,12.4,0.5,1.79,False,False,True
18,0,6,7,5,13.2,0,0,6,6,5,11.8,0,16.2,0.3,-0.92,False,False,True
19,0,6,6,6,12.833333333333334,0,0,6,6,6,13.5,0,16.2,0.3,-0.92,False,False,True
20,0,6,7,6,14.833333333333334,0,0,6,6,6,16.0,0,11.1,0.6,2.02,False,False,True
21,0,5,9,5,12.8,0,0,5,11,3,12.666666666666666,0,11.1,0.6,2.02,False,True,False
20,0,6,10,6,13.428571428571429,0,0,6,11,5,12.666666666666666,0,13.9,-0.3,0.79,False,True,False
19,0,5,11,4,11.0,0,0,5,8,4,12.25,0,15.5,2.8,-4.06,True,False,False
30,0,5,13,0,0.0,3,0,5,5,0,0.0,5,9.4,-0.8,-3.12,True,False,False
25,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,True,False,False
58,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,True,False,False
20,0,7,9,6,13.683333333333332,0,0,8,11,6,13.116666666666667,0,11.1,0.6,2.02,False,False,True
20,1,6,11,6,13.8,0,1,6,7,6,13.142857142857142,0,16.2,0.3,-0.92,False,False,True
19,0,5,5,4,11.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,True,False,False
22,11,14,14,12,12.333333333333334,2,11,14,14,12,12.333333333333334,2,7.6,2.6,0.32,False,False,True
19,0,6,12,4,12.5,0,0,6,12,4,10.25,0,7.6,2.6,0.32,True,False,False
18,0,6,7,6,10.571428571428571,0,0,6,11,3,11.666666666666666,0,16.2,0.3,-0.92,False,False,True
21,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,False,False,True
18,0,7,10,7,13.78,0,0,8,10,8,13.661,0,15.5,2.8,-4.06,False,False,True
28,0,5,7,1,11.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,True,False,False
18,0,7,7,6,12.516666666666666,1,0,7,7,6,12.516666666666666,1,7.6,2.6,0.32,True,False,False
19,0,6,7,6,12.0,0,0,6,7,6,12.428571428571429,0,11.1,0.6,2.02,False,False,True
20,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,True,False,False
24,0,7,7,6,13.3,0,0,7,7,6,13.3,0,7.6,2.6,0.32,False,False,True
18,0,6,6,6,13.0,0,0,6,8,1,10.0,0,10.8,1.4,1.74,False,True,False
19,0,6,6,6,12.0,0,0,6,7,4,12.75,0,12.4,0.5,1.79,False,True,False
22,4,12,19,11,14.153846153846152,0,5,12,20,12,15.428571428571429,0,8.9,1.4,3.51,False,False,True
18,2,5,7,2,13.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,True,False,False
20,0,5,12,3,11.666666666666666,2,0,5,11,4,11.5,1,9.4,-0.8,-3.12,False,False,True
26,0,8,8,7,13.075714285714286,0,0,8,8,7,13.075714285714286,0,10.8,1.4,1.74,False,False,True
18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,False,False,True
18,0,6,6,6,12.666666666666666,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,False,False,True
27,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,True,False,False
19,0,6,10,6,13.125,0,0,6,9,6,12.714285714285714,0,11.1,0.6,2.02,False,True,False
21,0,6,6,6,13.5,0,0,6,6,6,11.166666666666666,0,11.1,0.6,2.02,False,False,True
35,0,6,17,1,13.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,True,False,False
18,0,8,8,7,14.314285714285717,0,0,8,8,7,14.314285714285717,0,12.7,3.7,-1.7,False,False,True
18,0,7,7,6,14.066666666666668,0,0,7,7,6,14.066666666666668,0,7.6,2.6,0.32,False,False,True
27,0,6,10,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,True,False,False
27,0,6,8,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,True,False,False
36,6,10,15,4,13.0,0,5,9,10,4,13.75,0,8.9,1.4,3.51,True,False,False
18,0,8,8,8,14.15375,0,0,8,8,8,14.15375,0,9.4,-0.8,-3.12,False,False,True
19,0,6,8,6,11.333333333333334,0,0,6,6,6,11.833333333333334,0,8.9,1.4,3.51,False,False,True
24,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,True,False,False
20,0,5,6,3,12.0,0,0,5,5,4,12.75,0,7.6,2.6,0.32,True,False,False
19,0,6,6,6,13.0,0,0,6,8,6,12.5,0,10.8,1.4,1.74,False,False,True
18,0,7,11,6,11.994444444444444,0,0,8,11,7,12.43142857142857,0,15.5,2.8,-4.06,False,False,True
34,0,6,7,5,12.4,0,0,6,8,5,12.8,0,9.4,-0.8,-3.12,False,False,True
18,0,7,7,6,12.916666666666666,0,0,7,7,6,12.916666666666666,0,7.6,2.6,0.32,False,False,True
20,0,6,7,6,13.666666666666666,0,0,6,7,6,14.571428571428571,0,11.1,0.6,2.02,False,False,True
21,13,13,13,11,12.727272727272728,0,9,11,11,10,12.6,0,8.9,1.4,3.51,False,False,True
18,0,8,8,7,14.654285714285717,0,0,8,8,7,14.654285714285717,0,10.8,1.4,1.74,False,False,True
37,0,5,9,0,0.0,0,0,5,5,0,0.0,5,9.4,-0.8,-3.12,True,False,False
19,0,5,10,2,11.0,0,0,6,10,0,0.0,0,11.1,0.6,2.02,True,False,False
29,0,6,11,5,12.6,0,0,6,6,6,12.666666666666666,0,11.1,0.6,2.02,False,False,True
19,0,6,7,6,13.0,0,0,6,6,6,14.333333333333334,0,12.4,0.5,1.79,False,False,True
39,0,5,10,3,17.333333333333332,0,0,5,11,1,17.0,0,13.9,-0.3,0.79,True,False,False
32,2,7,16,3,12.0,0,3,8,10,3,10.333333333333334,0,8.9,1.4,3.51,False,True,False
18,0,7,9,5,14.06,0,0,7,9,6,12.571428571428571,0,12.4,0.5,1.79,False,True,False
18,0,6,7,6,12.5,0,0,6,6,6,12.166666666666666,0,10.8,1.4,1.74,False,False,True
20,0,7,9,7,14.093333333333332,0,0,8,8,8,15.0,0,11.1,0.6,2.02,False,False,True
20,0,7,9,5,12.7,0,0,8,9,7,13.475,0,13.9,-0.3,0.79,False,True,False
18,0,5,8,4,10.8,0,0,5,10,2,12.5,0,11.1,0.6,2.02,True,False,False
19,0,7,11,6,12.4,0,0,7,8,6,12.8,0,11.1,0.6,2.02,False,False,True
20,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,True,False,False
19,0,6,6,6,15.0,0,0,6,6,6,13.333333333333334,0,11.1,0.6,2.02,False,False,True
20,0,6,6,6,14.166666666666666,0,0,6,9,6,13.0,0,8.9,1.4,3.51,False,False,True
24,0,6,9,4,12.6,0,0,6,6,4,11.5,0,12.7,3.7,-1.7,True,False,False
18,0,7,8,7,12.142857142857142,0,0,7,9,6,13.666666666666666,0,11.1,0.6,2.02,False,False,True
29,0,6,7,1,14.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,True,False,False
25,0,5,10,4,11.25,0,0,5,9,4,12.0,0,12.7,3.7,-1.7,False,True,False
19,0,6,7,3,12.666666666666666,0,0,6,10,5,13.125,0,10.8,1.4,1.74,True,False,False
29,1,8,8,7,14.257142857142856,0,1,8,8,7,14.257142857142856,0,12.7,3.7,-1.7,False,False,True
19,0,6,7,5,13.6,0,0,6,8,5,12.666666666666666,0,15.5,2.8,-4.06,False,False,True
19,0,5,14,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,True,False,False
29,0,6,10,0,0.0,1,0,5,10,0,0.0,0,7.6,2.6,0.32,True,False,False
19,0,6,6,6,12.666666666666666,0,0,6,6,6,14.0,0,16.2,0.3,-0.92,False,False,True
19,0,6,7,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,True,False,False
19,0,8,8,8,13.427499999999998,0,0,8,8,8,13.427499999999998,0,9.4,-0.8,-3.12,False,False,True
18,0,8,8,7,14.2,0,0,8,8,7,14.2,0,12.7,3.7,-1.7,False,False,True
30,1,6,9,2,15.0,0,1,6,7,2,13.5,0,15.5,2.8,-4.06,True,False,False
30,0,7,7,7,14.692857142857145,0,0,8,8,8,14.9625,0,12.4,0.5,1.79,False,False,True
21,0,6,9,5,12.6,0,0,6,9,3,11.666666666666666,0,9.4,-0.8,-3.12,False,True,False
24,0,5,5,5,10.8,0,0,5,11,2,11.0,0,10.8,1.4,1.74,False,True,False
18,0,5,9,4,10.5,0,0,5,11,2,10.5,3,7.6,2.6,0.32,False,True,False
32,7,11,13,11,13.454545454545457,0,5,11,13,7,12.428571428571429,0,12.7,3.7,-1.7,False,False,True
25,0,5,5,5,11.2,0,0,5,5,5,12.6,0,9.4,-0.8,-3.12,True,False,False
21,6,12,12,11,11.545454545454543,0,4,11,18,9,11.7,1,8.9,1.4,3.51,False,True,False
34,0,5,12,2,11.5,0,0,5,9,4,11.75,0,9.4,-0.8,-3.12,False,True,False
20,0,7,7,7,12.485714285714286,0,0,8,12,8,12.9375,0,16.2,0.3,-0.92,False,False,True
19,0,6,6,6,12.166666666666666,0,0,6,6,6,11.333333333333334,0,12.7,3.7,-1.7,False,False,True
35,0,5,9,3,11.666666666666666,0,0,5,7,5,11.8,0,12.7,3.7,-1.7,False,True,False
36,10,14,21,13,13.071428571428571,0,4,11,16,11,13.0,0,16.2,0.3,-0.92,False,False,True
21,15,17,18,17,13.38888888888889,0,15,17,18,17,14.88888888888889,0,11.1,0.6,2.02,False,False,True
19,0,7,9,7,13.761111111111113,0,0,8,11,7,12.82375,0,15.5,2.8,-4.06,False,False,True
26,0,6,17,6,12.666666666666666,0,0,6,21,4,12.25,0,15.5,2.8,-4.06,False,False,True
20,10,17,29,14,12.5625,4,7,12,24,12,12.857142857142858,1,15.5,2.8,-4.06,False,False,True
21,0,6,7,0,0.0,0,0,6,11,1,10.0,0,10.8,1.4,1.74,False,True,False
18,0,5,7,5,11.6,0,0,5,11,5,11.4,4,16.2,0.3,-0.92,False,False,True
19,0,6,10,4,12.75,0,0,6,12,2,13.0,0,10.8,1.4,1.74,False,True,False
19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,True,False,False
34,2,2,2,2,10.5,0,1,1,1,1,11.0,0,10.8,1.4,1.74,True,False,False
18,0,6,8,6,14.142857142857142,0,0,6,6,5,12.0,0,13.9,-0.3,0.79,True,False,False
19,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.4,0.5,1.79,True,False,False
19,0,5,9,5,12.6,1,0,5,8,4,12.0,0,12.7,3.7,-1.7,False,False,True
26,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,True,False,False
18,0,8,8,7,13.4,0,0,8,8,7,13.4,0,12.7,3.7,-1.7,False,False,True
23,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,False,True,False
18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,False,True,False
20,0,5,11,5,12.333333333333334,2,0,5,7,5,12.6,0,9.4,-0.8,-3.12,False,False,True
22,2,6,15,3,11.75,0,0,6,12,2,10.0,0,13.9,-0.3,0.79,True,False,False
47,0,6,9,6,12.142857142857142,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,True,False,False
18,0,6,6,6,15.166666666666666,0,0,6,7,6,14.857142857142858,0,7.6,2.6,0.32,False,False,True
18,0,7,7,6,12.916666666666666,0,0,7,7,6,12.916666666666666,0,7.6,2.6,0.32,False,False,True
